,s.area,s.perimeter,s.radius.mean,s.radius.sd,s.radius.min,s.radius.max,id,m.cx,m.cy,m.majoraxis,m.eccentricity,m.theta
360,114,37,5.637110895,1.18834757,3.275626616,8.09738029,360,747.1787041,92.71816482,13.3970038,0.632854143,-1.143672307
361,108,35,5.544461074,1.361936036,2.783332315,8.48046976,361,1767.892702,484.5442514,14.3583875,0.770368608,0.188965966
362,170,48,7.135885045,2.137255225,3.647321125,10.44483691,362,623.4115525,447.9123391,21.56452906,0.897664411,-1.47597534
363,133,40,6.225528822,1.655382399,2.46018292,8.686339851,363,1368.705511,335.4163851,17.10816334,0.848217293,-0.852215689
364,149,43,6.821368945,1.861924378,3.106980226,10.0047582,364,1372.816862,426.7000344,16.52959142,0.836365091,0.806116431
365,125,38,5.891564641,1.249650651,3.443750613,8.030628695,365,763.354679,108.1635887,15.56631726,0.73905421,1.093208313
366,152,47,6.527964414,1.621629557,2.340812347,9.268491482,366,1561.100559,444.6272572,16.68821651,0.743296806,-0.744726404
367,108,38,5.440856441,1.298407622,2.317134777,7.87739323,367,702.9415153,1112.220503,13.97045549,0.621910756,0.868898148
368,103,33,5.335139397,0.968283636,3.78896954,7.312831346,368,622.3885835,595.8869818,13.69609298,0.749742147,-0.490882187
369,192,62,8.500333171,3.610138182,2.148130373,14.45911744,369,1261.829633,461.6430114,28.24973413,0.946449891,-0.060241482
370,124,39,5.866430534,1.261052137,2.615510304,8.307850584,370,1442.638867,427.0285797,12.13642021,0.590019488,-1.380684283
371,183,51,7.406464847,1.920394629,4.259417501,10.8648331,371,404.5022152,208.969329,19.20452449,0.666099369,0.681394544
372,104,34,5.419724787,1.2333073,3.411003972,7.545135237,372,1856.454024,71.07314967,14.74051898,0.809535193,1.410891073
373,154,44,6.577423425,1.506837399,3.091577468,9.190589869,373,748.8373651,585.2743564,17.03306535,0.812786373,-0.835918595
374,135,46,6.662541741,2.107451163,2.955402601,11.33078013,374,23.66141707,1092.207083,18.10561118,0.872328507,-1.228504629
375,122,37,5.957207486,1.096674201,4.088323625,8.5304422,375,2245.779046,72.64368137,15.16874088,0.751388301,-0.861580427
376,203,65,7.972060421,2.979115369,0.805013874,12.97638273,376,1406.512083,70.95685863,22.60199322,0.674560568,0.60177211
377,172,47,7.08002928,1.950248853,3.635746275,10.26901619,377,1160.891568,676.1898533,21.44937886,0.90124086,0.548701903
378,248,80,10.45474567,5.044552679,1.764449277,19.09223091,378,1435.292664,611.6164427,41.38995915,0.974825436,-0.699584788
379,160,59,6.925088513,1.682684855,3.224618031,10.53122196,379,708.3838212,544.5478972,16.17537145,0.671971514,-1.33805249
380,101,32,5.246909622,0.773219963,3.778666473,6.889544275,380,955.734498,488.838776,11.95050089,0.53713993,1.285013534
381,120,33,5.780001786,0.659903654,4.264552679,7.060671088,381,147.0571415,734.2442705,12.63164938,0.282677435,0.198323036
382,177,51,7.148630941,1.539346043,3.730904219,9.911274983,382,1295.127673,519.3698328,17.11412721,0.664762747,-1.5687672
383,100,30,5.198939303,0.540500911,4.168799454,6.146453359,383,1666.399911,740.3626474,11.63258438,0.564700183,0.270476936
384,90,29,4.897675421,0.378909147,4.371565239,5.760169108,384,1080.659308,168.6962914,10.32382311,0.358480725,-0.31210418
385,88,29,4.82451113,0.343032695,4.265281682,5.434837202,385,1740.72825,94.28272583,10.70556335,0.425793755,-1.164171639
386,122,36,5.917082038,1.097004069,4.086733278,7.886785713,386,803.9285189,608.9950107,13.57935251,0.768101848,-1.035323224
387,166,52,7.151819537,2.877966353,1.033821543,11.37944919,387,552.1628884,106.1042863,23.32204566,0.921923194,-0.357794039
388,214,61,8.132485393,2.742512578,0.990277922,12.63862131,388,714.6359985,120.8893358,25.12046575,0.84586777,-0.556385476
389,288,79,10.18438045,2.164648079,6.393056741,15.09456386,389,836.3487765,82.62119466,25.35257065,0.730047999,1.315354118
390,211,69,8.895861061,3.922315,1.367627646,15.16960059,390,960.336438,445.9360335,30.55137023,0.942887556,0.852961057
391,101,30,5.285464889,0.627583386,3.945883931,6.676076692,391,349.9747739,625.7605479,11.01633508,0.589838783,1.318790515
392,379,82,10.44477094,2.429801306,4.104179469,13.68336702,392,1153.479306,554.2531779,27.79813142,0.580767793,1.291017985
393,116,36,5.639948045,0.801001458,4.006168084,7.027283689,393,226.9023859,795.6417236,13.09584209,0.508122462,-1.235720272
394,141,53,6.790205279,1.973277545,2.971443535,10.87663435,394,1411.243444,569.5326125,17.58313145,0.842426352,1.284323306
395,110,34,5.554131963,1.149797095,3.594136902,7.954292002,395,1064.839895,609.1583145,12.6826609,0.716602539,-0.054036166
396,143,49,6.335880803,2.219872693,1.182441301,9.925755206,396,594.8101501,102.8813951,17.84177114,0.750545257,1.528074617
397,116,42,5.846677921,1.332706964,3.319102275,8.778613726,397,950.401506,363.1490174,11.67244998,0.483012317,0.456085866
398,178,52,7.35346212,2.205469305,2.718349329,11.62742944,398,1263.155138,575.6318402,20.09190286,0.802135287,1.114095239
399,106,35,5.436304523,0.971880816,3.445790096,7.318414014,399,415.9222035,525.2925641,11.98309545,0.729836119,-0.062321083
400,235,67,8.969845086,3.35085415,1.126445508,15.68391843,400,100.2168447,298.5123798,28.40547059,0.898005433,0.064284256
401,162,56,7.221233118,2.930067808,1.737381621,11.65197386,401,1284.031645,547.4830697,25.85187495,0.922661225,-0.199603047
402,119,40,5.868117656,1.486252056,2.656360292,8.037801316,402,1116.648303,116.1945667,15.86998824,0.750227654,-1.547956455
